Dept Family,Entity,Date,Expense Area,Expense Type,Supplier,Transaction Ref,Amount
DCMS,British Film Institute,1/4/14,Estates - Berkhamsted,Rents & Lease,BFI TRUST,0033000,"79,250.00"
DCMS,British Film Institute,1/4/14,Estates - Stephen St.,Rents & Lease,BFI TRUST,0033000,"290,000.00"
DCMS,British Film Institute,3/4/14,Estates - Berkhamsted,General Rates,DACORUM BOROUGH COUNCIL,0047300,"30,558.80"
DCMS,British Film Institute,4/4/14,Grants,Grant in Aid Award 2014-15,Northen Ireland Screen,2014-37202,"522,327.00"
DCMS,British Film Institute,4/4/14,Grants,Grant in Aid Award 2014-15,Creative England,2014-37110,"81,000.00"
DCMS,British Film Institute,11/4/14,Grants,BFI Film Academy Programme,National Film & Television School,2013-36005,"79,200.00"
DCMS,British Film Institute,13/04/2014,Estates - South Bank,General Rates,LONDON BOROUGH OF LAMBETH,0281500,"55,722.00"
DCMS,British Film Institute,13/04/2014,Estates - Stephen St.,General Rates,LONDON BOROUGH OF CAMDEN,0087000,"116,464.00"
DCMS,British Film Institute,16/04/2014,Special Collection Digitisation,Stills Digitisation,SAVE PHOTO LTD,0277900,"35,800.00"
DCMS,British Film Institute,25/04/2014,Estates - Berkhamsted,Plant / Machinery,IMTECH INVIRON LIMITED,0078400,"119,432.40"
DCMS,British Film Institute,30/04/2014,Central Projects,Refurbishment of Properties,BW Interiors Ltd,0225600,"165,288.13"
DCMS,British Film Institute,2/5/14,Grants,Grant in Aid Award 2014-15,Film London,2014-37108,"76,117.00"
DCMS,British Film Institute,2/5/14,Grants,Grant in Aid Award 2014-15,Film London,2014-37109,"64,033.00"
DCMS,British Film Institute,9/5/14,Grants,Grant in Aid Award 2014-15,Creative England,2014-37110,"81,000.00"
DCMS,British Film Institute,16/05/2014,Grants,Grant in Aid Award 2014-15,Northern Ireland Screen,2014-37202,"213,565.00"
DCMS,British Film Institute,22/05/2014,Estates - Gaydon,General Rates,STRATFORD-ON-AVON DISTRICT COUNCIL,0124200,"68,077.70"
DCMS,British Film Institute,22/05/2014,Estates - Gaydon,General Rates,STRATFORD-ON-AVON DISTRICT COUNCIL,0124200,"63,278.85"
DCMS,British Film Institute,22/05/2014,Estates - Gaydon,General Rates,STRATFORD-ON-AVON DISTRICT COUNCIL,0124200,"61,532.30"
DCMS,British Film Institute,28/05/2014,Central Projects,Refurbishment of Properties,BW Interiors Ltd,0225600,"166,237.29"
DCMS,British Film Institute,6/6/14,Grants,Grant in Aid Award 2014-15,Northern Ireland Screen,2014-37202,"135,140.00"
DCMS,British Film Institute,6/6/14,Grants,Grant in Aid Award 2014-15,Creative England,2014-37110,"81,000.00"
DCMS,British Film Institute,6/6/14,Grants,Grant in Aid Award 2014-15,Film London Ltd,2014-37108,"76,117.00"
DCMS,British Film Institute,6/6/14,Grants,Grant in Aid Award 2014-15,Film London Ltd,2014-37109,"64,033.00"
DCMS,British Film Institute,11/6/14,Research / Stats Unit,Data Purchase,RENTRAK LD,0121100,"36,596.00"
DCMS,British Film Institute,20/06/2014,Grants,Grant in Aid Award 2014-15,Media Archive for Central England (MACE),2014-37178,"31,000.00"
DCMS,British Film Institute,23/06/2014,Special Collection Digitisation,Stills Digitisation,SAVE PHOTO LTD,0277900,"35,800.00"
DCMS,British Film Institute,27/06/2014,Grants,Grant in Aid Award 2014-15,Film Agency for Wales,2013-35678,"32,000.00"
DCMS,British Film Institute,30/06/2014,Central Projects,Refurbishment of Properties,BW Interiors Ltd,0225600,"442,955.50"
DCMS,British Film Institute,1/7/14,London Film Festival,Events / Gala,PREMIER PUBLIC RELATIONS,0108300,"45,000.00"
DCMS,British Film Institute,1/7/14,London Film Festival,Events / Gala,PREMIER PUBLIC RELATIONS,0108300,"44,000.00"
DCMS,British Film Institute,3/7/14,Grants,Unlocking Film Heritage,UNIVERSITY OF BRIGHTON,0309400,"38,500.00"
DCMS,British Film Institute,10/7/14,Central Projects,Professional Fees,GRIMSHAW ARCHITECTS LLP,0230200,"29,736.00"
DCMS,British Film Institute,11/7/14,Grants,Grant in Aid Award 2014-15,Northern Ireland Screen,2014-37202,"561,139.00"
DCMS,British Film Institute,11/7/14,Grants,Grant in Aid Award 2014-15,Creative England,2014-37110,"81,000.00"
DCMS,British Film Institute,11/7/14,Grants,Grant in Aid Award 2014-15,Film London Limited,2014-37108,"38,058.00"
DCMS,British Film Institute,11/7/14,Grants,Grant in Aid Award 2014-15,Film London Limited,2014-37109,"32,017.00"
DCMS,British Film Institute,24/07/2014,Grants,Unlocking Film Heritage,YORKSHIRE FILM ARCHIVE,0150900,"36,455.00"
DCMS,British Film Institute,24/07/2014,Grants,Unlocking Film Heritage,MACE (MEDIA ARCHIVE FOR CENTRAL ENGLAND),0304500,"30,000.00"
DCMS,British Film Institute,24/07/2014,Grants,Unlocking Film Heritage,YORKSHIRE FILM ARCHIVE,0150900,"29,000.00"
DCMS,British Film Institute,26/07/2014,Central Projects,Refurbishment of Properties,BW Interiors Ltd,0225600,"42,588.32"
DCMS,British Film Institute,30/07/2014,Digital,IT equipment,Hewlett-Packard International,0227500,"25,232.98"
DCMS,British Film Institute,31/07/2014,BFI Player,Professional Fees,Ostmodern Ltd,0229400,"43,250.00"
DCMS,British Film Institute,31/07/2014,Finance and Resources,Legal costs,DELOITTE LLP,0049500,"50,000.00"
DCMS,British Film Institute,31/07/2014,Grants,BFI Film Academy Programme,National Film & Television School,2013-36005,"39,600.00"
DCMS,British Film Institute,6/8/14,Estates - Berkhamsted,Rents & Lease,BFI TRUST,0033000,"79,250.00"
DCMS,British Film Institute,6/8/14,Estates - Stephen St.,Rents & Lease,BFI TRUST,0033000,"290,000.00"
DCMS,British Film Institute,7/8/14,BFI Player,Professional Fees,OOYALA INC,0341800,"44,150.00"
DCMS,British Film Institute,8/8/14,Grants,Grant in Aid Award 2014-15,Northern Ireland Screen,2014-37202,"441,438.00"
DCMS,British Film Institute,8/8/14,Grants,Grant in Aid Award 2014-15,Creative England,2014-37110,"81,000.00"
DCMS,British Film Institute,12/8/14,Grants,Unlocking Film Heritage,THE NATIONAL LIBRARY OF WALES,0326700,"40,000.00"
DCMS,British Film Institute,16/08/2014,London Film Festival,Events / Gala,PREMIER PUBLIC RELATIONS,0108300,"44,000.00"
